Bottom Up Summary ,20%, $35.40 ," 1,234 "," $191,400 ",8%," $15,919.65 ",,
,,,,,,,,
,,,,,,,,
Market Price ,,,," $191,400 ",,,,
Maximum Discount,,,," $(7,960)",,,,
Discounted Final Price,19%,," 1,167 "," $183,440 ",,,,
Applied Discount %,,,,4%,,,,
Discount Manual Overwrite,,,,15%,,,,
Discount Selection,,,,-15%,,,,
Market Price ,,,," $191,400 ",,,,
Applied Discount %,,,," $(28,710)",,,,
Contract Price,17%, $30.09 , 992 ," $162,690 ",,,,
,,,,,,,,
Hours Rebalance by Phases,,,,,,,,
Discovery,8%, 79 ,,,,,,
Creative - Conceptual,8%, 79 ,,,,,,
Creative - Shematic,34%, 337 ,,,,,,
Creative - Preliminary,8%, 79 ,,,,,,
Technical - Shematic,34%, 337 ,,,,,,
Technical - Preliminary,8%, 79 ,,,,,,
Total ,100%, 992 ,,,,,,
,,,,,,,,
Rebalanced Hours Per Employees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery, 29 , 29 , 8 , 2 , 11 , 79 ,,
Creative - Conceptual, -   , -   , 75 , -   , 4 , 79 ,,
Creative - Shematic, 108 , 108 , 108 , 7 , 7 , 338 ,,
Creative - Preliminary, 25 , 25 , 25 , 2 , 2 , 79 ,,
Technical - Shematic, 88 , 88 , 34 , 108 , 20 , 338 ,,
Technical - Preliminary, 21 , 21 , 8 , 25 , 5 , 80 ,,
Total, 271.00 , 271.00 , 258.00 , 144.00 , 49.00 , 993 ,,
